step,reward
0,-156.6519688956073
10,-96.27462071509777
20,-46.90060299600784
30,-31.76090733996986
40,-28.74920609178745
50,-107.79896884355269
60,-28.1705828821878
70,-7.996119306626667
80,-3981.2326131979853
90,-3981.2326131979853
100,-3981.2326131979853
110,-3981.2326131979853
120,-3981.2326131979853
130,-3981.2326131979853
140,-3981.2326131979853
150,-3981.2326131979853
160,-3981.2326131979853
170,-3981.2326131979853
180,-3981.2326131979853
190,-3981.2326131979853
200,-3981.2326131979853
210,-3981.2326131979853
220,-3981.2326131979853
230,-3981.2326131979853
240,-3981.2326131979853
250,-3981.2326131979853
260,-3981.2326131979853
270,-3981.2326131979853
280,-3981.2326131979853
290,-3981.2326131979853
300,-3981.2326131979853
310,-3981.2326131979853
320,-3981.2326131979853
330,-3981.2326131979853
340,-3981.2326131979853
350,-3981.2326131979853
360,-3981.2326131979853
370,-3981.2326131979853
380,-3981.2326131979853
390,-3981.2326131979853
400,-3981.2326131979853
410,-3981.2326131979853
420,-3981.2326131979853
430,-3981.2326131979853
440,-3981.2326131979853
450,-3981.2326131979853
460,-3981.2326131979853
470,-3981.2326131979853
480,-3981.2326131979853
490,-3981.2326131979853
500,-3981.2326131979853
510,-3981.2326131979853
520,-3981.2326131979853
530,-3981.2326131979853
540,-3981.2326131979853
550,-3981.2326131979853
560,-3981.2326131979853
570,-3981.2326131979853
580,-3981.2326131979853
590,-3981.2326131979853
600,-3981.2326131979853
610,-3981.2326131979853
620,-3981.2326131979853
630,-3981.2326131979853
640,-3981.2326131979853
650,-3981.2326131979853
660,-3981.2326131979853
670,-3981.2326131979853
680,-3981.2326131979853
690,-3981.2326131979853
700,-3981.2326131979853
710,-3981.2326131979853
720,-3981.2326131979853
730,-3981.2326131979853
740,-3981.2326131979853
750,-3981.2326131979853
760,-3981.2326131979853
770,-3981.2326131979853
780,-3981.2326131979853
790,-3981.2326131979853
800,-3981.2326131979853
810,-3981.2326131979853
820,-3981.2326131979853
830,-3981.2326131979853
840,-3981.2326131979853
850,-3981.2326131979853
860,-3981.2326131979853
870,-3981.2326131979853
880,-3981.2326131979853
890,-3981.2326131979853
900,-3981.2326131979853
910,-3981.2326131979853
920,-3981.2326131979853
930,-3981.2326131979853
940,-3981.2326131979853
950,-3981.2326131979853
960,-3981.2326131979853
970,-3981.2326131979853
980,-3981.2326131979853
990,-3981.2326131979853
1000,-3981.2326131979853
1010,-3981.2326131979853
1020,-3981.2326131979853
1030,-3981.2326131979853
1040,-3981.2326131979853
1050,-3981.2326131979853
1060,-3981.2326131979853
1070,-3981.2326131979853
1080,-3981.2326131979853
1090,-3981.2326131979853
1100,-3981.2326131979853
1110,-3981.2326131979853
1120,-3981.2326131979853
1130,-3981.2326131979853
1140,-3981.2326131979853
1150,-3981.2326131979853
1160,-3981.2326131979853
1170,-3981.2326131979853
1180,-3981.2326131979853
1190,-3981.2326131979853
1200,-3981.2326131979853
1210,-3981.2326131979853
1220,-3981.2326131979853
1230,-3981.2326131979853
1240,-3981.2326131979853
1250,-3981.2326131979853
1260,-3981.2326131979853
1270,-3981.2326131979853
1280,-3981.2326131979853
1290,-3981.2326131979853
1300,-3981.2326131979853
1310,-3981.2326131979853
1320,-3981.2326131979853
1330,-3981.2326131979853
1340,-3981.2326131979853
1350,-3981.2326131979853
1360,-3981.2326131979853
1370,-3981.2326131979853
1380,-3981.2326131979853
1390,-3981.2326131979853
1400,-3981.2326131979853
1410,-3981.2326131979853
1420,-3981.2326131979853
1430,-3981.2326131979853
1440,-3981.2326131979853
1450,-3981.2326131979853
1460,-3981.2326131979853
1470,-3981.2326131979853
1480,-3981.2326131979853
1490,-3981.2326131979853
1500,-3981.2326131979853
1510,-3981.2326131979853
1520,-3981.2326131979853
1530,-3981.2326131979853
1540,-3981.2326131979853
1550,-3981.2326131979853
1560,-3981.2326131979853
1570,-3981.2326131979853
1580,-3981.2326131979853
1590,-3981.2326131979853
1600,-3981.2326131979853
1610,-3981.2326131979853
1620,-3981.2326131979853
1630,-3981.2326131979853
1640,-3981.2326131979853
1650,-3981.2326131979853
1660,-3981.2326131979853
1670,-3981.2326131979853
1680,-3981.2326131979853
1690,-3981.2326131979853
1700,-3981.2326131979853
1710,-3981.2326131979853
1720,-3981.2326131979853
1730,-3981.2326131979853
1740,-3981.2326131979853
1750,-3981.2326131979853
1760,-3981.2326131979853
1770,-3981.2326131979853
1780,-3981.2326131979853
1790,-3981.2326131979853
1800,-3981.2326131979853
1810,-3981.2326131979853
1820,-3981.2326131979853
1830,-3981.2326131979853
1840,-3981.2326131979853
1850,-3981.2326131979853
1860,-3981.2326131979853
1870,-3981.2326131979853
1880,-3981.2326131979853
1890,-3981.2326131979853
1900,-3981.2326131979853
1910,-3981.2326131979853
1920,-3981.2326131979853
1930,-3981.2326131979853
1940,-3981.2326131979853
1950,-3981.2326131979853
1960,-3981.2326131979853
1970,-3981.2326131979853
1980,-3981.2326131979853
1990,-3981.2326131979853
2000,-3981.2326131979853
2010,-3981.2326131979853
2020,-3981.2326131979853
2030,-3981.2326131979853
2040,-3981.2326131979853
2050,-3981.2326131979853
2060,-3981.2326131979853
2070,-3981.2326131979853
2080,-3981.2326131979853
2090,-3981.2326131979853
2100,-3981.2326131979853
2110,-3981.2326131979853
2120,-3981.2326131979853
2130,-3981.2326131979853
2140,-3981.2326131979853
2150,-3981.2326131979853
2160,-3981.2326131979853
2170,-3981.2326131979853
2180,-3981.2326131979853
2190,-3981.2326131979853
2200,-3981.2326131979853
2210,-3981.2326131979853
2220,-3981.2326131979853
2230,-3981.2326131979853
2240,-3981.2326131979853
2250,-3981.2326131979853
2260,-3981.2326131979853
2270,-3981.2326131979853
2280,-3981.2326131979853
2290,-3981.2326131979853
2300,-3981.2326131979853
2310,-3981.2326131979853
2320,-3981.2326131979853
2330,-3981.2326131979853
2340,-3981.2326131979853
2350,-3981.2326131979853
2360,-3981.2326131979853
2370,-3981.2326131979853
2380,-3981.2326131979853
2390,-3981.2326131979853
2400,-3981.2326131979853
2410,-3981.2326131979853
2420,-3981.2326131979853
2430,-3981.2326131979853
2440,-3981.2326131979853
2450,-3981.2326131979853
2460,-3981.2326131979853
2470,-3981.2326131979853
2480,-3981.2326131979853
2490,-3981.2326131979853
2500,-3981.2326131979853
2510,-3981.2326131979853
2520,-3981.2326131979853
2530,-3981.2326131979853
2540,-3981.2326131979853
2550,-3981.2326131979853
2560,-3981.2326131979853
2570,-3981.2326131979853
2580,-3981.2326131979853
2590,-3981.2326131979853
2600,-3981.2326131979853
2610,-3981.2326131979853
2620,-3981.2326131979853
2630,-3981.2326131979853
2640,-3981.2326131979853
2650,-3981.2326131979853
2660,-3981.2326131979853
2670,-3981.2326131979853
2680,-3981.2326131979853
2690,-3981.2326131979853
2700,-3981.2326131979853
2710,-3981.2326131979853
2720,-3981.2326131979853
2730,-3981.2326131979853
2740,-3981.2326131979853
2750,-3981.2326131979853
2760,-3981.2326131979853
2770,-3981.2326131979853
2780,-3981.2326131979853
2790,-3981.2326131979853
2800,-3981.2326131979853
2810,-3981.2326131979853
2820,-3981.2326131979853
2830,-3981.2326131979853
2840,-3981.2326131979853
2850,-3981.2326131979853
2860,-3981.2326131979853
2870,-3981.2326131979853
2880,-3981.2326131979853
2890,-3981.2326131979853
2900,-3981.2326131979853
2910,-3981.2326131979853
2920,-3981.2326131979853
2930,-3977.3135191071137
2940,-3981.2326131979853
2950,-3981.2326131979853
2960,-3981.2326131979853
2970,-3981.2326131979853
