step,reward
0,-112.97611490656
10,-114.12181454273357
20,-78.43997443591957
30,-59.92120096024829
40,-66.5004339269234
50,-93.47436011675872
60,-109.36956022515406
70,-101.36549362417455
80,-153.77951992378925
90,-121.00364573125405
100,-82.44498621953389
110,-115.29746742801358
120,-91.3419182515986
130,-63.644186608191944
140,-90.0140733072376
150,-133.11034581470818
160,-97.57706281674507
170,-65.16074432475327
180,-118.90199727920523
190,-89.70334682900638
200,-93.70301890528047
210,-112.33963733717606
220,-58.473363684818295
230,-99.35703249515014
240,-118.02298202432323
250,-84.0971866307485
260,-111.36070345984896
270,-74.23857168534076
280,-115.44772563053566
290,-85.9564660260107
300,-88.95841046513286
310,-125.10446452080717
320,-117.18094969897774
330,-82.53427884690731
340,-121.82733444952706
350,-96.28838018363234
360,-72.46426677798497
370,-97.65308781716055
380,-133.68049204885375
390,-94.04897824117803
400,-90.44309691788267
410,-92.16013312994691
420,-100.46956033790599
430,-77.33173759672
440,-92.94225258555608
450,-91.43860516287216
460,-97.09753674662824
470,-97.11152239783124
480,-152.2111474902928
490,-80.63215480007955
500,-122.30427428500889
510,-104.64581536633209
520,-99.27055727328177
530,-89.77257734169966
540,-98.41542226363563
550,-58.20303110535472
560,-74.8958648574979
570,-77.46521283073848
580,-91.32285129570406
590,-66.62715006402905
600,-85.20630489250888
610,-93.15502214543372
620,-99.36914033312023
630,-60.79706530867136
640,-85.65682282351159
650,-82.57234524477224
660,-93.68385907509965
670,-66.36300293028407
680,-87.49023245589407
690,-83.69072699084634
700,-80.5892780153029
710,-77.01023858390447
720,-82.29800907639574
730,-58.926772179601734
740,-95.83014876025584
750,-71.81460425150053
760,-73.26748505190413
770,-71.63596824458169
780,-68.5018419448224
790,-88.33205018018889
800,-88.75567390325163
810,-87.28501975777031
820,-67.49784550685342
830,-88.13724925374983
840,-69.14605027984294
850,-79.77245370985318
860,-54.952429251400346
870,-79.01315283243287
880,-78.93357186727856
890,-93.35225730178266
900,-71.47498893437262
910,-61.74097021272668
920,-99.29621952938597
930,-89.49201752695528
940,-64.99292079090222
950,-86.63006782202187
960,-83.2761345433747
970,-69.81085025745892
980,-58.52953727633866
990,-85.62791658668047
1000,-98.84585925953702
1010,-82.28735092880804
1020,-90.88936820651334
1030,-76.64159248373565
1040,-92.72186344653736
1050,-47.925285965527024
1060,-76.04084793193451
1070,-93.62867237938782
1080,-81.62005259705492
1090,-70.26839567017186
1100,-83.93783809915713
1110,-82.68934218466147
1120,-99.35291554337034
1130,-77.83599495330971
1140,-63.535229687930965
1150,-100.19640298894402
1160,-93.51784871271316
1170,-91.55930038522563
1180,-85.8600364333309
1190,-116.3214806740411
1200,-60.79423219544392
1210,-90.26784006123374
1220,-75.16806532772355
1230,-78.18968703429177
